,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
0,Keningau,MY,5.3378,116.1602,74.75,98,100,1.9,2021-10-22
1,Mataura,NZ,-46.1927,168.8643,44.64,92,93,1.28,2021-10-22
2,Barguzin,RU,53.6167,109.6167,32.25,74,4,1.68,2021-10-22
3,Port Alfred,ZA,-33.5906,26.891,67.71,80,98,26.62,2021-10-22
4,Busselton,AU,-33.65,115.3333,54.59,72,1,9.64,2021-10-22
5,Rikitea,PF,-23.1203,-134.9692,73.69,79,99,23.85,2021-10-22
6,Shimoda,JP,34.6667,138.95,53.1,84,99,15.41,2021-10-22
7,Saskylakh,RU,71.9167,114.0833,-5.57,100,97,1.43,2021-10-22
8,Lebu,CL,-37.6167,-73.65,49.91,74,43,15.61,2021-10-22
9,Srednekolymsk,RU,67.45,153.6833,-9.53,98,69,4.68,2021-10-22
10,Nanortalik,GL,60.1432,-45.2371,39.04,96,100,1.95,2021-10-22
11,Vaini,TO,-21.2,-175.2,71.76,88,40,9.22,2021-10-22
12,Jinan,CN,36.6683,116.9972,54.9,47,46,4.59,2021-10-22
13,Diamantino,BR,-14.4086,-56.4461,85.35,59,65,5.88,2021-10-22
14,Soyo,AO,-6.1349,12.3689,82.45,73,98,8.5,2021-10-22
15,New Norfolk,AU,-42.7826,147.0587,60.91,65,100,2.26,2021-10-22
16,Torbay,CA,47.6666,-52.7314,45.27,84,40,4.61,2021-10-22
17,La Rioja,ES,42.25,-2.5,55.04,76,75,5.75,2021-10-22
18,Uyuni,BO,-20.4597,-66.825,46.99,11,9,6.62,2021-10-22
19,Kysyl-Syr,RU,63.8986,122.7617,24.33,98,100,2.28,2021-10-22
20,Aniva,RU,46.7144,142.5294,30.31,85,75,5.61,2021-10-22
21,Saldanha,ZA,-33.0117,17.9442,64.45,64,100,23.89,2021-10-22
22,Avarua,CK,-21.2078,-159.775,68.05,64,100,3.44,2021-10-22
23,Thompson,CA,55.7435,-97.8558,26.76,100,75,5.75,2021-10-22
24,Mitsamiouli,KM,-11.3847,43.2844,84.49,65,40,12.66,2021-10-22
25,Nikolskoye,RU,59.7035,30.7861,48.87,63,99,18.79,2021-10-22
26,Atuona,PF,-9.8,-139.0333,77.85,76,34,20.47,2021-10-22
27,Cherskiy,RU,68.75,161.3,-5.48,100,99,3.65,2021-10-22
28,Iqaluit,CA,63.7506,-68.5145,24.53,85,40,13.0,2021-10-22
29,Kahului,US,20.8947,-156.47,76.84,81,1,6.91,2021-10-22
30,Yangi Marg`ilon,UZ,40.4272,71.7189,53.02,37,100,11.5,2021-10-22
31,Lavrentiya,RU,65.5833,-171.0,23.95,84,100,11.12,2021-10-22
32,Fershampenuaz,RU,53.5202,59.8117,42.71,93,100,18.16,2021-10-22
33,Amapá,BR,1.0,-52.0,81.84,74,77,2.55,2021-10-22
34,Bethel,US,41.3712,-73.414,63.18,90,1,6.91,2021-10-22
35,Bluff,NZ,-46.6,168.3333,50.43,86,79,5.35,2021-10-22
36,Macas,EC,-2.3167,-78.1167,68.16,90,35,1.95,2021-10-22
37,Shagonar,RU,51.5333,92.8,41.36,49,19,0.78,2021-10-22
38,Coyhaique,CL,-45.5752,-72.0662,39.81,81,0,4.61,2021-10-22
39,Arrondissement de Lisieux,FR,49.1667,0.1667,58.51,65,50,14.0,2021-10-22
40,Ponta do Sol,PT,32.6667,-17.1,73.13,56,48,6.04,2021-10-22
41,Fortuna,US,40.5982,-124.1573,55.74,76,90,4.0,2021-10-22
42,Khowst,AF,33.3833,69.8833,68.68,31,40,9.48,2021-10-22
43,Belmonte,BR,-15.8631,-38.8828,73.9,83,100,8.57,2021-10-22
44,Punta Arenas,CL,-53.15,-70.9167,44.71,61,90,18.41,2021-10-22
45,Guangyuan,CN,32.442,105.823,56.12,89,100,3.09,2021-10-22
46,Kruisfontein,ZA,-34.0033,24.7314,68.88,73,99,10.0,2021-10-22
47,Hong Kong,HK,22.2855,114.1577,68.32,74,100,7.0,2021-10-22
48,Kabare,CD,-2.4683,28.8242,71.71,77,90,4.21,2021-10-22
49,Kapaa,US,22.0752,-159.319,75.52,91,20,10.36,2021-10-22
50,Hermanus,ZA,-34.4187,19.2345,68.81,62,64,28.79,2021-10-22
51,Grindavik,IS,63.8424,-22.4338,41.47,93,75,19.57,2021-10-22
52,Guantánamo,CU,20.1444,-75.2092,76.57,85,64,1.88,2021-10-22
53,Ushuaia,AR,-54.8,-68.3,42.42,70,75,4.61,2021-10-22
54,Pacific Grove,US,36.6177,-121.9166,62.1,88,75,1.01,2021-10-22
55,Cape Town,ZA,-33.9258,18.4232,68.41,59,75,13.0,2021-10-22
56,Mahébourg,MU,-20.4081,57.7,79.25,78,75,17.27,2021-10-22
57,Kumul,CN,42.8,93.45,62.85,17,0,4.7,2021-10-22
58,Souillac,MU,-20.5167,57.5167,79.36,78,75,17.27,2021-10-22
59,Butaritari,KI,3.0707,172.7902,82.53,77,34,15.61,2021-10-22
60,Ribeira Grande,PT,38.5167,-28.7,70.2,78,20,4.61,2021-10-22
61,Saiha,IN,22.4833,92.9667,70.65,86,55,0.54,2021-10-22
62,Edd,ER,13.9297,41.6925,90.03,57,22,11.43,2021-10-22
63,Mar del Plata,AR,-38.0023,-57.5575,59.02,95,90,5.99,2021-10-22
64,Elizabeth City,US,36.2946,-76.2511,68.02,84,75,3.0,2021-10-22
65,Saint Paul Harbor,US,57.79,-152.4072,39.72,70,100,20.92,2021-10-22
66,Santo Amaro da Imperatriz,BR,-27.6881,-48.7786,75.94,67,13,3.67,2021-10-22
67,Barrow,US,71.2906,-156.7887,28.42,86,90,0.0,2021-10-22
68,East London,ZA,-33.0153,27.9116,81.54,34,0,23.02,2021-10-22
69,Chacabuco,AR,-34.6417,-60.4739,67.84,45,79,2.68,2021-10-22
70,Iroquois Falls,CA,48.7669,-80.6831,28.54,88,100,5.86,2021-10-22
71,Nelson Bay,AU,-32.7167,152.15,66.99,94,6,9.66,2021-10-22
72,Bengkulu,ID,-3.8004,102.2655,79.07,81,99,2.57,2021-10-22
73,Naze,JP,28.3667,129.4833,66.79,56,93,18.14,2021-10-22
74,Hofn,IS,64.2539,-15.2082,35.62,60,90,10.36,2021-10-22
75,Saint George,US,37.1041,-113.5841,64.35,62,1,0.0,2021-10-22
76,Tuktoyaktuk,CA,69.4541,-133.0374,28.53,84,21,7.96,2021-10-22
77,Kenora,CA,49.8167,-94.4337,37.38,93,90,3.44,2021-10-22
78,Waingapu,ID,-9.6567,120.2641,81.25,77,96,2.8,2021-10-22
79,Chute-aux-Outardes,CA,49.1168,-68.399,55.71,93,90,18.41,2021-10-22
80,Okato,NZ,-39.2,173.8833,51.69,86,100,7.54,2021-10-22
81,Clyde River,CA,70.4692,-68.5914,19.83,73,88,4.5,2021-10-22
82,Hilo,US,19.7297,-155.09,73.27,77,20,5.75,2021-10-22
83,Kashgar,CN,39.4547,75.9797,56.26,47,75,13.42,2021-10-22
84,Bambanglipuro,ID,-7.95,110.2833,64.6,85,75,9.17,2021-10-22
85,Albany,US,42.6001,-73.9662,58.95,85,56,9.04,2021-10-22
86,Liepāja,LV,56.5419,21.0367,49.98,66,75,25.32,2021-10-22
87,San Cristobal,VE,7.7669,-72.225,66.38,91,30,2.77,2021-10-22
88,Bredasdorp,ZA,-34.5322,20.0403,74.52,33,20,24.16,2021-10-22
89,Nantucket,US,41.2835,-70.0995,67.01,88,90,17.27,2021-10-22
90,Cap Malheureux,MU,-19.9842,57.6142,79.47,67,29,8.01,2021-10-22
91,Sande,DE,53.5049,8.0142,50.23,76,91,21.9,2021-10-22
92,Pevek,RU,69.7008,170.3133,13.06,93,100,9.86,2021-10-22
93,Athabasca,CA,54.7169,-113.2854,30.02,73,10,10.22,2021-10-22
94,Kudahuvadhoo,MV,2.6708,72.8944,82.65,69,18,10.87,2021-10-22
95,Arraial do Cabo,BR,-22.9661,-42.0278,71.46,68,75,3.44,2021-10-22
96,Khovd,MN,48.0056,91.6419,38.93,42,5,0.85,2021-10-22
97,Norman Wells,CA,65.282,-126.8329,32.04,86,40,4.61,2021-10-22
98,Chokurdakh,RU,70.6333,147.9167,-17.46,100,51,2.1,2021-10-22
99,Cabo San Lucas,MX,22.8909,-109.9124,76.51,82,0,3.0,2021-10-22
100,Grand Gaube,MU,-20.0064,57.6608,79.38,67,31,8.01,2021-10-22
101,Kaitangata,NZ,-46.2817,169.8464,45.93,95,83,3.33,2021-10-22
102,Cayenne,GF,4.9333,-52.3333,84.09,81,20,7.0,2021-10-22
103,Nome,US,64.5011,-165.4064,30.27,70,1,12.66,2021-10-22
104,Yuanping,CN,38.7153,112.7575,47.59,35,99,0.43,2021-10-22
105,Jamestown,US,42.097,-79.2353,51.12,98,90,5.01,2021-10-22
106,San Patricio,US,28.017,-97.5169,75.04,88,3,3.18,2021-10-22
107,Sikasso,ML,10.9167,-7.0,89.83,53,73,0.38,2021-10-22
108,Hoa Binh,VN,20.8133,105.3383,67.89,76,99,3.58,2021-10-22
109,Sioux Lookout,CA,50.1001,-91.917,32.38,100,90,4.61,2021-10-22
110,Olafsvik,IS,64.8945,-23.7142,42.67,93,100,18.92,2021-10-22
111,Sørland,NO,67.667,12.6934,37.47,52,100,15.7,2021-10-22
112,Kimbe,PG,-5.5502,150.1429,75.94,94,100,3.2,2021-10-22
113,Xinzhou,CN,38.4092,112.7333,47.73,37,94,0.89,2021-10-22
114,Ponta Delgada,PT,37.7333,-25.6667,70.52,73,20,5.75,2021-10-22
115,Northam,GB,51.0333,-4.2167,55.56,74,91,15.21,2021-10-22
116,Miura,JP,35.14,139.6192,55.29,86,100,26.66,2021-10-22
117,Grand-Santi,GF,4.25,-54.3833,80.73,76,91,3.49,2021-10-22
118,Port Elizabeth,ZA,-33.918,25.5701,71.1,77,40,18.41,2021-10-22
119,Te Anau,NZ,-45.4167,167.7167,46.45,92,98,0.51,2021-10-22
120,Hobart,AU,-42.8794,147.3294,61.27,88,75,1.01,2021-10-22
121,Buala,SB,-8.145,159.5921,80.87,81,99,7.83,2021-10-22
122,Zlaté Hory,CZ,50.2638,17.396,52.18,46,23,16.58,2021-10-22
123,São João da Barra,BR,-21.6403,-41.0511,69.89,78,82,1.99,2021-10-22
124,Panglao,PH,9.5781,123.7458,81.52,78,100,14.18,2021-10-22
125,Sitka,US,57.0531,-135.33,53.49,62,40,18.41,2021-10-22
126,Eyl,SO,7.9803,49.8164,83.53,64,23,14.83,2021-10-22
127,Quatre Cocos,MU,-20.2078,57.7625,79.09,68,60,10.27,2021-10-22
128,Hasaki,JP,35.7333,140.8333,52.29,88,100,22.32,2021-10-22
129,Ahipara,NZ,-35.1667,173.1667,60.24,94,100,16.98,2021-10-22
130,Flinders,AU,-34.5833,150.8552,66.2,77,2,6.33,2021-10-22
131,Tautira,PF,-17.7333,-149.15,78.82,82,43,16.67,2021-10-22
132,Karratha,AU,-20.7377,116.8463,83.25,39,16,12.19,2021-10-22
133,Ziro,IN,27.6333,93.8333,63.34,95,35,1.99,2021-10-22
134,Dikson,RU,73.5069,80.5464,19.33,77,57,11.07,2021-10-22
135,Acajutla,SV,13.5928,-89.8275,76.66,85,92,5.08,2021-10-22
136,Inuvik,CA,68.3499,-133.7218,34.81,83,1,4.61,2021-10-22
137,San Quintín,MX,30.4833,-115.95,61.99,88,16,11.72,2021-10-22
